| № | Дата/время | Температура | Осадки (мм) |
|---|------------|-------------|-------------|
| 1 | 2026-05-31T00:00 | 6,5 | 0,00 |
| 2 | 2026-05-31T01:00 | 6,3 | 0,00 |
| 3 | 2026-05-31T02:00 | 5,9 | 0,00 |
| 4 | 2026-05-31T03:00 | 5,1 | 0,00 |
| 5 | 2026-05-31T04:00 | 4,4 | 0,00 |
| 6 | 2026-05-31T05:00 | 4,5 | 0,00 |
| 7 | 2026-05-31T06:00 | 6,2 | 0,00 |
| 8 | 2026-05-31T07:00 | 9,3 | 0,00 |
| 9 | 2026-05-31T08:00 | 12,5 | 0,00 |
| 10 | 2026-05-31T09:00 | 13,5 | 0,00 |
| 11 | 2026-05-31T10:00 | 13,8 | 0,00 |
| 12 | 2026-05-31T11:00 | 14,4 | 0,00 |
| 13 | 2026-05-31T12:00 | 15,4 | 0,00 |
| 14 | 2026-05-31T13:00 | 15,2 | 0,00 |
| 15 | 2026-05-31T14:00 | 15,3 | 0,00 |
| 16 | 2026-05-31T15:00 | 16,6 | 0,00 |
| 17 | 2026-05-31T16:00 | 15,9 | 0,00 |
| 18 | 2026-05-31T17:00 | 15,3 | 0,00 |
| 19 | 2026-05-31T18:00 | 14,1 | 0,00 |
| 20 | 2026-05-31T19:00 | 13,6 | 0,00 |
| 21 | 2026-05-31T20:00 | 11,8 | 0,00 |
| 22 | 2026-05-31T21:00 | 9,9 | 0,00 |
| 23 | 2026-05-31T22:00 | 8,6 | 0,00 |
| 24 | 2026-05-31T23:00 | 7,7 | 0,00 |
